doc_type,doc_id,num,date_str,description,url_metadata,lang,newspaper_id,time_ut,source
lk_news,2025-09-10-adaderanalk-1c036faf,adaderanalk-1c036faf,2025-09-10,Sri Lanka made remarkable progress towards economic stabilization since the crisis: World Bank,https://www.adaderana.lk/news/112367/sri-lanka-made-remarkable-progress-towards-economic-stabilization-since-the-crisis-world-bank,en,adaderanalk,1757507340.0,adaderana.lk
lk_news,2025-09-10-islandlk-0c4008f5,islandlk-0c4008f5,2025-09-10,How agroecology promotes food security and economic stability,http://island.lk/how-agroecology-promotes-food-security-and-economic-stability/,en,islandlk,1757526000.0,island.lk
lk_news,2025-09-11-dailyftlk-ed3c222a,dailyftlk-ed3c222a,2025-09-11,Talk on German Supply Chain Act reforms and EU GSP+,https://www.ft.lk/business/Talk-on-German-Supply-Chain-Act-reforms-and-EU-GSP/34-781489,en,dailyftlk,1757548743.0,ft.lk
lk_news,2025-09-11-dailyftlk-81b61144,dailyftlk-81b61144,2025-09-11,"Nepal protests ‘hijacked’, Gen Z claims, as army patrols streets",https://www.ft.lk/news/Nepal-protests-hijacked-Gen-Z-claims-as-army-patrols-streets/56-781493,en,dailyftlk,1757548910.0,ft.lk
lk_news,2025-09-11-dailyftlk-52ba6fcf,dailyftlk-52ba6fcf,2025-09-11,Cabinet green lights Rs. 6 b  more for rural roads,https://www.ft.lk/news/Cabinet-green-lights-Rs-6-b-more-for-rural-roads/56-781494,en,dailyftlk,1757548966.0,ft.lk
lk_news,2025-09-11-dailyftlk-56622b95,dailyftlk-56622b95,2025-09-11,"Ranil condemns Nepal violence, urges return to peace",https://www.ft.lk/news/Ranil-condemns-Nepal-violence-urges-return-to-peace/56-781495,en,dailyftlk,1757549031.0,ft.lk
lk_news,2025-09-11-dailyftlk-9542fc36,dailyftlk-9542fc36,2025-09-11,Mass graves in Sri Lanka,https://www.ft.lk/columns/Mass-graves-in-Sri-Lanka/4-781502,en,dailyftlk,1757549808.0,ft.lk
lk_news,2025-09-11-adaderanalk-bda409c0,adaderanalk-bda409c0,2025-09-11,Former Presidents lose official residences under new law – Mahinda set to return to Carlton House,https://www.adaderana.lk/news/112381/former-presidents-lose-official-residences-under-new-law-mahinda-set-to-return-to-carlton-house,en,adaderanalk,1757555160.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-8c2e210c,adaderanalk-8c2e210c,2025-09-11,"109 Sri Lankans currently in Nepal are safe, Foreign Ministry confirms",https://www.adaderana.lk/news/112386/109-sri-lankans-currently-in-nepal-are-safe-foreign-ministry-confirms,en,adaderanalk,1757561100.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-252afa6f,adaderanalk-252afa6f,2025-09-11,Politicians and diplomats visit ex-President Mahinda Rajapaksa at his Wijerama residence,https://www.adaderana.lk/news/112392/politicians-and-diplomats-visit-ex-president-mahinda-rajapaksa-at-his-wijerama-residence,en,adaderanalk,1757569320.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-3e253a0e,adaderanalk-3e253a0e,2025-09-11,"Netherlands approves grant of EUR 730,000 for rural bridges project in Sri Lanka",https://www.adaderana.lk/news/112397/netherlands-approves-grant-of-eur-730000-for-rural-bridges-project-in-sri-lanka,en,adaderanalk,1757573700.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-f265d336,adaderanalk-f265d336,2025-09-11,Ex-President Mahinda vacates residence at Wijerama Road,https://www.adaderana.lk/news/112402/ex-president-mahinda-vacates-residence-at-wijerama-road,en,adaderanalk,1757577480.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-ee7ebbb4,adaderanalk-ee7ebbb4,2025-09-11,Sri Lanka’s GDP growth for 2025 expected at 3.1% - FinMin officials,https://www.adaderana.lk/news/112403/sri-lankas-gdp-growth-for-2025-expected-at-31-finmin-officials,en,adaderanalk,1757579880.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-049795db,adaderanalk-049795db,2025-09-11,Former Director General and Director of UDA granted bail,https://www.adaderana.lk/news/112406/former-director-general-and-director-of-uda-granted-bail,en,adaderanalk,1757586120.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-bc3c8e21,adaderanalk-bc3c8e21,2025-09-11,Army Lt. Colonel arrested for selling ammunition to underworld figure,https://www.adaderana.lk/news/112409/army-lt-colonel-arrested-for-selling-ammunition-to-underworld-figure,en,adaderanalk,1757593260.0,adaderana.lk
lk_news,2025-09-11-adaderanalk-c52adaaf,adaderanalk-c52adaaf,2025-09-11,15 Sri Lankan underworld figures in custody in foreign countries: Minister,https://www.adaderana.lk/news/112410/15-sri-lankan-underworld-figures-in-custody-in-foreign-countries-minister,en,adaderanalk,1757594520.0,adaderana.lk
lk_news,2025-09-11-economynextcom-8aa01e91,economynextcom-8aa01e91,2025-09-11,Indian Rs600mn grant to construct ETU at Sri Lanka’s Mannar hospital,https://economynext.com/indian-rs600mn-grant-to-construct-etu-at-sri-lankas-mannar-hospital-240241/,en,economynextcom,1757594640.0,economynext.com
lk_news,2025-09-11-economynextcom-009c99b3,economynextcom-009c99b3,2025-09-11,Netherlands boosts rural bridges in Sri Lanka with extra grant,https://economynext.com/netherlands-boosts-rural-bridges-in-sri-lanka-with-extra-grant-240264/,en,economynextcom,1757598180.0,economynext.com
lk_news,2025-09-11-islandlk-b52f0bc3,islandlk-b52f0bc3,2025-09-11,Role of digital transformation in SL’s continued aviation sector growth,http://island.lk/role-of-digital-transformation-in-sls-continued-aviation-sector-growth/,en,islandlk,1757605620.0,island.lk
lk_news,2025-09-12-dailyftlk-cb2544f3,dailyftlk-cb2544f3,2025-09-12,"Netherlands steps up support for rural bridges project with additional € 730,000 grant",https://www.ft.lk/news/Netherlands-steps-up-support-for-rural-bridges-project-with-additional-730-000-grant/56-781550,en,dailyftlk,1757636234.0,ft.lk
lk_news,2025-09-12-dailyftlk-6b75b36f,dailyftlk-6b75b36f,2025-09-12,SC allows petition over MR’s unpaid Rs. 2.6 m electricity bill,https://www.ft.lk/news/SC-allows-petition-over-MR-s-unpaid-Rs-2-6-m-electricity-bill/56-781551,en,dailyftlk,1757636253.0,ft.lk
lk_news,2025-09-12-dailyftlk-47d660f6,dailyftlk-47d660f6,2025-09-12,Responsibility of universities in getting graduates job-ready,https://www.ft.lk/columns/Responsibility-of-universities-in-getting-graduates-job-ready/4-781561,en,dailyftlk,1757637876.0,ft.lk
lk_news,2025-09-12-economynextcom-4256019d,economynextcom-4256019d,2025-09-12,World Bank report slams Sri Lanka VAT amid poverty from monetary meltdown: analysis,https://economynext.com/world-bank-report-slams-sri-lanka-vat-amid-poverty-from-monetary-meltdown-analysis-240310/,en,economynextcom,1757645340.0,economynext.com
lk_news,2025-09-12-adaderanalk-1126b5e2,adaderanalk-1126b5e2,2025-09-12,SC grants leave to proceed with petition over electricity bill for Namal’s wedding,https://www.adaderana.lk/news/112417/sc-grants-leave-to-proceed-with-petition-over-electricity-bill-for-namals-wedding,en,adaderanalk,1757646180.0,adaderana.lk
lk_news,2025-09-12-adaderanalk-d1e7b2cf,adaderanalk-d1e7b2cf,2025-09-12,Harsha raises concerns over Bribery Commission’s financial management,https://www.adaderana.lk/news/112418/harsha-raises-concerns-over-bribery-commissions-financial-management,en,adaderanalk,1757646240.0,adaderana.lk
lk_news,2025-09-12-adaderanalk-49f25f58,adaderanalk-49f25f58,2025-09-12,China to provide Sri Lanka’s full requirement of school uniforms for 2026,https://www.adaderana.lk/news/112421/china-to-provide-sri-lankas-full-requirement-of-school-uniforms-for-2026,en,adaderanalk,1757650980.0,adaderana.lk
